


INIT TRAIN LATENT 2
Epoch 0: running loss: 1389.1685
Exec. Time of epoch: 1.970s(0.049s/batch)

Epoch 1: running loss: 968.4563
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 2: running loss: 842.4432
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 3: running loss: 773.1994
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 4: running loss: 726.2642
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 5: running loss: 690.6211
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 6: running loss: 661.2440
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 7: running loss: 633.9126
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 8: running loss: 607.3754
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 9: running loss: 580.1163
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 10: running loss: 552.2978
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 11: running loss: 524.6438
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 12: running loss: 495.1626
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 13: running loss: 464.8102
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 14: running loss: 435.0128
Exec. Time of epoch: 0.267s(0.007s/batch)

Epoch 15: running loss: 405.7119
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 16: running loss: 377.4875
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 17: running loss: 350.4823
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 18: running loss: 325.1557
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 19: running loss: 301.8395
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 20: running loss: 279.9606
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 21: running loss: 260.7044
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 22: running loss: 243.0903
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 23: running loss: 227.1263
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 24: running loss: 212.8508
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 25: running loss: 200.1321
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 26: running loss: 188.3089
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 27: running loss: 177.7064
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 28: running loss: 167.9398
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 29: running loss: 158.9504
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 30: running loss: 150.3333
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 31: running loss: 142.5762
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 32: running loss: 135.2820
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 33: running loss: 127.9650
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 34: running loss: 121.5283
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 35: running loss: 115.7438
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 36: running loss: 110.0243
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 37: running loss: 104.9764
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 38: running loss: 100.1909
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 39: running loss: 95.8242
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 40: running loss: 91.8327
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 41: running loss: 87.8905
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 42: running loss: 84.3643
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 43: running loss: 81.0367
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 44: running loss: 78.3704
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 45: running loss: 75.5214
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 46: running loss: 72.8519
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 47: running loss: 70.5674
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 48: running loss: 68.5631
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 49: running loss: 66.6894
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 50: running loss: 64.7737
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 51: running loss: 63.2798
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 52: running loss: 61.6666
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 53: running loss: 60.5498
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 54: running loss: 59.3845
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 55: running loss: 58.2406
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 56: running loss: 57.2151
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 57: running loss: 56.2554
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 58: running loss: 55.7661
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 59: running loss: 54.8915
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 60: running loss: 54.0311
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 61: running loss: 53.5017
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 62: running loss: 52.7843
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 63: running loss: 52.2903
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 64: running loss: 51.7987
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 65: running loss: 51.2927
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 66: running loss: 50.8983
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 67: running loss: 50.7181
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 68: running loss: 50.2154
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 69: running loss: 49.8882
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 70: running loss: 49.6071
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 71: running loss: 49.2291
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 72: running loss: 48.6580
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 73: running loss: 48.4896
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 74: running loss: 48.2036
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 75: running loss: 47.9579
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 76: running loss: 47.7002
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 77: running loss: 47.3955
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 78: running loss: 47.2489
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 79: running loss: 47.1325
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 80: running loss: 46.6631
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 81: running loss: 46.5844
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 82: running loss: 46.1031
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 83: running loss: 45.9806
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 84: running loss: 45.9875
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 85: running loss: 45.5728
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 86: running loss: 45.2190
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 87: running loss: 45.2151
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 88: running loss: 44.8590
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 89: running loss: 44.4916
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 90: running loss: 44.3399
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 91: running loss: 44.1065
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 92: running loss: 44.0390
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 93: running loss: 43.4768
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 94: running loss: 43.2838
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 95: running loss: 43.1121
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 96: running loss: 42.8114
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 97: running loss: 42.5647
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 98: running loss: 42.2752
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 99: running loss: 41.8719
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 100: running loss: 41.6345
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 101: running loss: 41.2654
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 102: running loss: 41.3037
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 103: running loss: 40.9543
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 104: running loss: 40.8271
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 105: running loss: 40.4586
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 106: running loss: 40.2227
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 107: running loss: 39.9495
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 108: running loss: 39.9358
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 109: running loss: 39.7263
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 110: running loss: 39.6199
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 111: running loss: 39.0359
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 112: running loss: 39.0585
Exec. Time of epoch: 0.265s(0.007s/batch)

Epoch 113: running loss: 38.7365
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 114: running loss: 38.5295
Exec. Time of epoch: 0.266s(0.007s/batch)

Epoch 115: running loss: 38.2239
